latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,year,month,day,dayofyear
31.10905,75.59521,355.95,0.37,0.58,2019-05-21,718,N,VIIRS,n,2,311.55,5.19,D,0,2019,5,21,141
13.52688,76.99916,340.08,0.41,0.37,2020-02-19,815,N,VIIRS,l,2,312.1,2.65,D,0,2020,2,19,50
17.85073,79.85256,346.55,0.49,0.49,2022-05-07,727,N,VIIRS,n,2,305.16,6.51,D,0,2022,5,7,127
22.91168,75.45427,307.14,0.4,0.44,2021-04-01,2015,N,VIIRS,n,2,287.3,1.07,N,0,2021,4,1,91
22.79082,86.19939,312.84,0.57,0.43,2014-10-07,2024,N,VIIRS,n,2,291.89,2.03,N,2,2014,10,7,280
31.05477,75.15997,328.25,0.6,0.7,2016-11-04,859,N,VIIRS,n,2,294.38,7.53,D,0,2016,11,4,309
22.04942,92.93799,356.67,0.65,0.73,2014-03-18,757,N,VIIRS,l,2,301.58,16.38,D,0,2014,3,18,77
18.16618,82.16687,345.09,0.48,0.48,2019-03-31,810,N,VIIRS,n,2,301.77,6.51,D,0,2019,3,31,90
23.7878,86.9315,307.12,0.42,0.38,2013-02-13,1942,N,VIIRS,n,2,290.39,1.05,N,2,2013,2,13,44
18.36564,82.21562,349.39,0.43,0.38,2013-04-17,733,N,VIIRS,l,2,314.63,51.41,D,0,2013,4,17,107
22.31122,92.59605,345.54,0.42,0.37,2023-04-09,711,N,VIIRS,n,2,308.46,14.52,D,0,2023,4,9,99
26.64162,79.48151,335.26,0.4,0.37,2022-03-08,755,N,VIIRS,l,2,309.21,5.51,D,2,2022,3,8,67
29.75934,78.97339,300.56,0.44,0.62,2022-04-22,2116,N,VIIRS,n,2,288.14,1.35,N,0,2022,4,22,112
29.50643,75.25049,338.96,0.55,0.51,2018-10-19,731,N,VIIRS,n,2,299.04,6.31,D,0,2018,10,19,292
29.97343,80.61803,295.29,0.47,0.4,2018-01-14,2007,N,VIIRS,n,2,279.76,0.73,N,0,2018,1,14,14
23.6999,93.24381,345.34,0.45,0.47,2022-03-15,722,N,VIIRS,n,2,301.78,25.81,D,0,2022,3,15,74
31.34694,74.64281,334.54,0.48,0.4,2020-10-16,821,N,VIIRS,n,2,303.14,3.92,D,0,2020,10,16,290
23.41339,77.1795,344.32,0.57,0.52,2023-04-24,731,N,VIIRS,n,2,316.59,12.83,D,0,2023,4,24,114
16.84131,81.7415,336.43,0.49,0.49,2022-05-18,720,N,VIIRS,n,2,294.69,5.08,D,0,2022,5,18,138
17.9682,82.16631,335.26,0.47,0.39,2019-04-06,758,N,VIIRS,l,2,308.54,2.69,D,0,2019,4,6,96
12.93484,79.93799,330.32,0.49,0.65,2016-03-25,714,N,VIIRS,l,2,301.8,2.09,D,0,2016,3,25,85
28.27936,81.18146,317.1,0.38,0.36,2016-04-24,2021,N,VIIRS,n,2,293.01,1.65,N,0,2016,4,24,115
14.46114,78.59855,351.46,0.54,0.68,2013-03-28,847,N,VIIRS,n,2,315.15,8.46,D,0,2013,3,28,87
19.48542,78.19205,302.84,0.52,0.41,2021-03-04,2041,N,VIIRS,n,2,290.83,0.9,N,0,2021,3,4,63
25.66228,92.99841,339.29,0.47,0.4,2014-03-31,714,N,VIIRS,n,2,304.9,7.36,D,0,2014,3,31,90
30.55133,75.50705,333.29,0.4,0.37,2012-11-01,806,N,VIIRS,n,2,301.42,2.26,D,0,2012,11,1,306
27.37767,80.54684,334.47,0.41,0.37,2015-03-06,742,N,VIIRS,n,2,298.45,2.2,D,0,2015,3,6,65
29.44286,76.58589,348.76,0.47,0.48,2023-05-10,732,N,VIIRS,n,2,319.86,8.21,D,0,2023,5,10,130
26.79314,94.68959,304.17,0.34,0.56,2021-01-05,1845,N,VIIRS,n,2,282.65,0.47,N,2,2021,1,5,5
18.25287,83.80859,334.12,0.39,0.36,2022-03-25,733,N,VIIRS,n,2,302.67,1.31,D,0,2022,3,25,84
18.93569,83.07464,335.37,0.44,0.39,2016-03-07,753,N,VIIRS,l,2,309.93,15.48,D,0,2016,3,7,67
23.68679,78.30775,367.0,0.39,0.36,2017-04-16,800,N,VIIRS,l,2,325.55,2.65,D,0,2017,4,16,106
